,logE_GeV,rate,rate_x_E
65,8.595959595959595,4.4536073833758273e-20,1.550914910727549e-11
66,8.666666666666666,2.143104637618167e-20,9.261391773469966e-12
67,8.737373737373737,1.066741014551765e-20,5.753063966254267e-12
68,8.808080808080808,9.832073069221365e-21,5.473306659344617e-12
69,8.878787878787879,4.9228309388338145e-21,3.3922453028894577e-12
70,8.949494949494948,2.4929536146492214e-21,2.1245636708624576e-12
71,9.02020202020202,2.277176466564957e-21,1.9521129557724948e-12
72,9.09090909090909,1.178385450974921e-21,1.2459438703002375e-12
73,9.161616161616163,5.254320925371328e-22,6.996967740848911e-13
74,9.232323232323232,4.670310647625129e-22,6.270943631877369e-13
75,9.303030303030303,1.90935297383803e-22,3.3453696085551523e-13
76,9.373737373737374,1.0229199753990094e-22,2.222913932132379e-13
77,9.444444444444445,4.334196336522705e-23,1.2307695282443269e-13
78,9.515151515151516,3.877810595300214e-23,1.1164694233039949e-13
79,9.585858585858585,1.9181245810198293e-23,7.003545668092726e-14
80,9.656565656565657,1.0337254879934269e-23,4.757040985339776e-14
81,9.727272727272727,9.22262743363053e-24,4.31851725084901e-14
82,9.797979797979798,4.780940784399778e-24,2.84471849556733e-14
83,9.868686868686869,2.5990703150605464e-24,1.940470796024141e-14
84,9.93939393939394,2.5023323826801283e-24,1.8810000687258616e-14
85,10.01010101010101,1.3899110703074206e-24,1.3004823485860889e-14
86,10.08080808080808,6.822865244247556e-25,8.303101587178559e-15
87,10.151515151515152,6.058963062201259e-25,7.449358817326663e-15
88,10.222222222222221,3.8919843461368406e-25,5.785337135482217e-15
89,10.292929292929292,2.262396270451472e-25,4.0165352091600135e-15
90,10.363636363636363,1.0441940671464958e-25,2.4270613904157717e-15
91,10.434343434343434,9.198281590736526e-26,2.1441684322006227e-15
92,10.505050505050505,5.637119958937908e-26,1.5802291285246946e-15
93,10.575757575757574,3.161435303074271e-26,1.033812109235526e-15
94,10.646464646464647,2.3408438937581125e-26,8.281736761182581e-16
95,10.717171717171716,1.293943995431443e-26,5.597124918390316e-16
96,10.787878787878787,6.747784920226237e-27,3.5888782746443346e-16
97,10.858585858585858,6.747784920226237e-27,3.5888782746443346e-16
98,10.929292929292929,3.634666059209701e-27,2.3309326877265905e-16
99,11.0,1.6783249391934872e-27,1.3169051883261586e-16
